"char" "freq"
"409" "心态" 11
"410" "事务性" 11
"411" "指标" 11
"412" "高管" 11
"413" "明确" 11
"414" "加入" 11
"415" "法律" 11
"416" "所谓" 11
"417" "同学们" 11
"418" "存在" 11
"419" "甲方" 11
"420" "不好" 11
"421" "配合" 11
"422" "最终" 11
"423" "压力" 11
"424" "家" 11
"425" "完善" 11
"426" "从业" 11
"427" "变化" 11
"428" "没什么" 11
"429" "学生" 11
"430" "优势" 11
"432" "属于" 11
"433" "晋升" 11
"434" "协调" 11
"435" "发挥" 11
"436" "跳槽" 11
"437" "一天" 11
"439" "辞职" 11
"440" "号" 11
"441" "当初" 11
"442" "无产阶级" 10
"443" "国企" 10
"444" "合适" 10
"445" "身边" 10
"447" "中国" 10
"448" "有效" 10
"449" "接受" 10
"450" "国内" 10
"451" "已" 10
"454" "见" 10
"455" "活" 10
"456" "成功" 10
"457" "提高" 10
"458" "测评" 10
"459" "开发" 10
"460" "科学" 10
"461" "手段" 10
"463" "放弃" 10
"464" "快" 10
"465" "上班" 10
"466" "道路" 10
"467" "来看" 10
"468" "相信" 10
"469" "根本" 10
"470" "准备" 10
"471" "考研" 10
"472" "金融" 10
"473" "利润" 10
"474" "安排" 10
"475" "所在" 10
"476" "熟悉" 10
"477" "情商" 10
"478" "总监" 10
"479" "是因为" 10
"480" "坚持" 10
"481" "体验" 10
"482" "快乐" 10
"483" "高级" 10
"484" "淘汰" 10
"485" "两年" 10
"486" "想法" 9
"487" "帮" 9
"488" "六大" 9
"489" "变革" 9
"490" "一句" 9
"491" "课程" 9
"492" "架构" 9
"494" "裁员" 9
"495" "具体" 9
"496" "拥有" 9
"497" "这份" 9
"498" "代表" 9
"499" "第一" 9
"501" "换" 9
"502" "标准" 9
"503" "解决" 9
"504" "专业性" 9
"505" "原来" 9
"506" "薪水" 9
"507" "学到" 9
"508" "风险" 9
"510" "挑战" 9
"511" "困难" 9
"512" "人大" 9
"513" "变得" 9
"514" "支柱" 9
"515" "本人" 9
"516" "中小" 9
"517" "听" 9
"518" "办公室" 9
"519" "满意" 9
"520" "期待" 9
"521" "趋势" 9
"522" "公众" 9
